starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	0	2	0
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	1	0	2	0
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	0	2	0
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	0	2	0
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	0
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	1	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	0
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	1	2	1
Wed Mar 14 14:51:09 2012	1331733069	1	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	2	2	1
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	1	1	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	1	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	1
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:08 2012	1331733068	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
Wed Mar 14 14:51:10 2012	1331733070	0	2	2	2
Wed Mar 14 14:51:09 2012	1331733069	0	2	2	2
