starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	39
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:36 2012	1331734116	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:33 2012	1331734113	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:33 2012	1331734113	9	31	40	31
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:36 2012	1331734116	0	40	40	40
Wed Mar 14 15:08:33 2012	1331734113	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:36 2012	1331734116	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	1	39	40	39
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:33 2012	1331734113	9	31	40	31
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:36 2012	1331734116	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:36 2012	1331734116	0	40	40	40
Wed Mar 14 15:08:34 2012	1331734114	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
Wed Mar 14 15:08:35 2012	1331734115	0	40	40	40
